location,size,bedrooms,age,garden,garage,price
Ankara,115,2,30,0,1,111747.0108394657
Ankara,219,2,8,1,1,233195.84509331826
Bursa,94,1,7,0,0,104920.95328123229
Ankara,111,5,45,1,0,139792.39000556504
Istanbul,234,5,18,1,0,242625.3027557936
Ankara,294,2,7,1,1,256835.96211595638
Antalya,183,2,33,0,0,125932.1295658964
Antalya,77,2,3,1,1,152323.02570029552
Antalya,77,3,30,0,0,83019.47916410504
Antalya,157,4,37,1,1,190689.04358381644
Izmir,93,3,2,0,0,154850.76489259416
Izmir,133,5,34,0,1,161513.58127600126
Ankara,79,1,18,0,1,98257.38996147047
Izmir,239,4,42,0,1,187809.4715707973
Antalya,124,1,28,1,1,125276.20102084894
Antalya,177,5,9,0,0,212535.05938473355
Antalya,299,5,11,0,1,312073.8562770465
Antalya,296,1,45,1,0,177613.0499732526
Antalya,141,1,29,0,0,102177.66837860612
Antalya,266,1,29,1,1,189876.5048607003
Antalya,280,5,17,0,1,267899.383313686
Ankara,239,2,23,1,0,173719.2621857305
Istanbul,274,1,31,0,0,164819.7120017374
Izmir,178,4,8,0,0,203070.30391569802
Bursa,170,5,46,0,0,117457.23767658
Ankara,76,3,23,0,0,92425.28356150613
Izmir,239,3,25,1,0,207309.83133938833
Ankara,170,4,2,0,0,185889.07456055316
Ankara,165,2,22,1,1,183069.89759922933
Ankara,254,1,10,1,0,202555.16024305896
Ankara,282,5,9,1,0,295917.1487152966
Antalya,52,1,49,1,1,43507.6390047407
Bursa,152,5,35,0,0,132645.40216602723
Bursa,247,3,12,0,0,181853.40304176163
Ankara,249,1,28,0,1,160429.79604198484
Istanbul,204,4,37,0,0,160112.4318835971
Izmir,186,2,12,0,0,160134.18610832482
Antalya,111,4,25,0,1,147484.94929165742
Izmir,214,2,19,1,1,227638.2238554933
Ankara,274,1,4,1,0,219952.3262783127
Antalya,100,1,19,0,1,101079.56081098226
Bursa,283,2,13,0,1,204763.79741693672
Izmir,221,3,44,0,0,148866.70804036513
Bursa,201,5,13,1,1,240118.66415662842
Izmir,256,4,7,0,1,264235.62164942344
Istanbul,108,4,47,0,0,100057.57948799971
Bursa,167,4,12,0,0,182321.8470144957
Antalya,209,1,23,1,1,166508.32378861273
Ankara,145,4,14,1,1,223905.3361172366
Ankara,265,5,0,0,0,282008.14817508985
Ankara,282,5,21,1,0,270044.3998087917
Ankara,229,2,33,1,1,173141.07816169944
Bursa,162,1,49,1,0,72480.62277289863
Antalya,111,5,39,0,0,119447.26787439562
Bursa,290,3,2,0,1,262497.23550795234
Bursa,235,1,25,1,1,168675.8933058574
Istanbul,101,1,13,1,0,142935.7053718337
Istanbul,61,5,40,1,0,147076.6654350173
Bursa,88,3,7,0,1,145927.7060760709
Izmir,179,2,48,1,0,129939.39158837892
Antalya,180,5,15,1,1,260643.99128945442
Ankara,162,3,41,0,0,118354.50370049366
Istanbul,150,1,20,1,0,138769.74766922064
Izmir,162,3,9,1,0,194999.53597221608
Istanbul,233,1,24,0,1,184712.65404699236
Bursa,130,5,37,1,1,178883.06620543078
Ankara,236,5,21,1,0,231096.72407523205
Istanbul,162,4,48,1,0,149068.50076258503
Istanbul,51,4,47,1,1,128076.70310188233
Ankara,179,4,46,0,1,134753.10369945827
Antalya,269,5,45,0,0,203387.05805250956
Ankara,103,2,3,0,1,155024.6277248383
Antalya,136,5,3,1,1,228249.66995868617
Istanbul,278,3,29,0,0,184699.22029148054
Izmir,273,5,1,0,0,256789.29121302394
Bursa,274,5,28,1,1,239001.19486862767
Bursa,178,1,42,0,1,73075.28385592233
Bursa,196,1,35,1,0,102193.99222526273
Bursa,175,1,20,1,1,156005.96528756188
Istanbul,179,5,20,1,0,271717.46855147986
Istanbul,102,2,47,0,0,48611.5712327085
Bursa,221,3,20,0,1,200587.76796492547
Istanbul,267,3,3,1,0,299378.9779216081
Antalya,209,2,0,0,0,168854.279736753
Antalya,247,2,25,1,0,213741.35134958386
Istanbul,209,3,1,0,0,214247.8500860338
Istanbul,296,4,8,0,0,269814.21432055027
Ankara,117,1,44,0,1,43924.18921007553
Ankara,232,1,17,0,0,113719.05713149984
Ankara,252,3,47,0,0,139625.95231037974
Bursa,233,2,47,1,0,135752.55827348682
Izmir,172,4,41,0,1,162185.2426905758
Antalya,194,3,40,0,0,110898.89142300865
Istanbul,87,1,10,0,0,114274.65022947444
Ankara,73,5,24,0,0,145142.3128498926
Ankara,118,2,25,0,0,70034.05935973061
Antalya,165,5,35,1,1,213247.89463599568
Istanbul,147,3,41,1,1,166154.59111774876
Bursa,247,1,34,1,0,137162.5585605334
Izmir,263,4,37,0,1,227603.1957166246
Bursa,188,5,2,0,1,265059.61937656906
Istanbul,289,4,40,1,1,264375.9991096702
Bursa,193,1,34,1,0,133596.74588505304
Istanbul,146,5,49,1,0,181045.34249699622
Antalya,250,4,39,1,0,202017.55892007687
Ankara,173,4,21,0,0,175210.71412015194
Bursa,236,5,7,1,0,238210.1673752627
Ankara,119,1,14,0,0,82197.62735289484
Izmir,257,4,44,1,1,214209.4547007082
Antalya,142,3,6,0,1,178286.94912401048
Antalya,52,5,18,0,1,149117.7805621957
Istanbul,197,2,39,0,1,130315.50804145056
Antalya,236,2,41,1,1,179764.39495895687
Antalya,213,1,16,0,0,145316.98077612958
Antalya,196,3,0,0,0,198364.20985324954
Istanbul,139,4,44,1,1,183999.4301927681
Bursa,244,2,28,1,0,174051.68927509847
Izmir,196,1,12,1,0,186379.96948780902
Antalya,197,3,47,1,0,121057.81447773436
Antalya,145,3,28,1,0,146498.35828704204
Izmir,248,1,40,1,0,148931.26245254354
Izmir,101,1,41,0,1,53493.69352682049
Izmir,282,4,5,0,1,268959.5654587323
Ankara,210,1,4,1,1,170823.71463241716
Izmir,217,4,33,1,0,212036.9776683122
Antalya,177,4,10,0,0,177948.75441123804
Bursa,88,5,8,0,0,143530.27376928495
Istanbul,131,3,37,0,0,112329.43148046777
Ankara,153,3,39,1,1,142571.18592475922
Izmir,178,3,40,0,0,119371.40576446509
Bursa,60,5,8,0,1,168657.5859307966
Istanbul,269,4,7,1,1,292281.5298225037
Istanbul,234,4,43,1,1,231872.66468092825
Antalya,266,1,39,1,1,158636.7167525662
Antalya,227,5,2,0,0,258397.378826656
Antalya,200,1,12,1,0,169803.78809842325
Ankara,208,5,18,0,1,212218.30105783496
Izmir,271,1,33,0,0,126954.0966339559
Izmir,91,2,31,1,0,108813.538874526
Ankara,148,3,48,0,0,74475.74270589676
Istanbul,56,3,15,1,1,164187.9247542078
Antalya,193,4,35,1,1,209328.2282435037
Istanbul,139,2,17,1,1,176867.39155077597
Bursa,161,3,13,1,1,204632.51963815215
Izmir,298,4,29,0,1,250860.46146482328
Ankara,293,2,1,1,1,270646.0835002151
Istanbul,109,3,12,0,1,172594.64903070536
Izmir,162,1,26,0,0,88968.80806950793
Istanbul,51,5,16,1,1,175311.5418352492
Bursa,178,2,30,0,0,108481.64326040114
Izmir,97,4,14,1,1,194073.79715578305
Bursa,189,2,19,1,0,150142.76310537918
Istanbul,246,4,4,1,0,271442.1715764837
Ankara,86,2,6,0,0,88223.50227677812
Ankara,209,4,17,1,0,222267.28027140922
Ankara,296,3,10,1,1,273947.95693955105
Izmir,58,1,31,0,1,56550.371025478395
Bursa,282,3,49,1,1,193791.8960513971
Ankara,148,1,26,1,1,132434.93588775597
Antalya,196,3,25,1,1,197198.53718684378
Istanbul,97,3,36,1,1,145148.24490328215
Ankara,257,2,44,1,1,151498.74453920647
Izmir,180,5,27,1,1,247864.5681996061
Bursa,197,4,49,0,1,133033.27505104587
Ankara,201,4,1,1,1,250610.83131389166
Antalya,103,4,19,1,1,188072.5280126684
Ankara,169,1,3,1,0,160872.1251150428
Ankara,210,4,12,1,0,221187.4921392894
Istanbul,201,4,23,0,0,217519.9713692436
Istanbul,165,2,47,1,0,121868.31545480111
Ankara,124,3,37,0,0,94853.51318339308
Istanbul,162,4,39,1,1,192804.6934650809
Izmir,249,5,47,1,1,239128.65869630701
Ankara,213,4,44,0,0,126418.19327914288
Antalya,215,1,28,0,1,140451.92659121662
Bursa,153,1,35,1,0,74679.30324749943
Ankara,133,1,1,1,1,169372.22178086484
Bursa,276,4,40,1,1,217811.27094329917
Izmir,161,2,17,1,0,164387.5921772916
Izmir,266,5,48,1,0,221476.7637401716
Istanbul,148,4,7,1,0,232310.88915096686
Bursa,202,2,14,0,1,172588.46599075123
Izmir,142,2,40,1,0,116383.36335858017
Istanbul,195,4,16,1,1,244272.2434098693
Antalya,177,4,22,1,1,231234.21885361217
Istanbul,159,2,1,0,1,186765.81955154348
Antalya,131,2,5,0,1,144743.3908325981
Antalya,243,2,28,0,0,170994.50084564294
Antalya,103,4,26,1,0,158531.37534851732
Antalya,212,2,36,0,0,122583.99111416195
Bursa,257,1,48,1,0,128426.04405162438
Bursa,238,4,33,1,1,214998.0182675584
Istanbul,218,1,17,1,0,185084.68831679632
Izmir,277,3,41,1,0,191175.77581707106
Ankara,210,4,9,1,0,223829.8570408149
Ankara,117,3,37,1,0,119559.4800719925
Izmir,82,2,43,1,1,109910.0087806001
Ankara,191,2,16,0,1,167490.7714078444
Antalya,70,5,12,0,1,186265.08317626477
Istanbul,97,2,47,0,1,69849.42821155643
Ankara,197,3,41,1,0,135801.09710195233
Bursa,297,2,26,0,1,175157.82450352318
Izmir,177,4,1,1,0,223351.9333720143
Istanbul,185,2,33,0,0,153155.38542400606
Bursa,184,5,30,0,0,175929.23324220197
Bursa,244,2,22,1,0,190342.3988787146
Ankara,194,3,6,0,1,195579.79957952417
Istanbul,177,3,37,1,1,189567.36354253523
Bursa,82,2,32,0,0,47392.44815103365
Bursa,225,3,11,0,1,195257.65742758146
Ankara,253,3,44,0,1,166522.75075163686
Izmir,236,5,11,1,0,262663.6804137033
Antalya,164,4,18,1,0,186669.28903571784
Izmir,263,5,8,0,1,257049.45071196157
Antalya,168,1,9,0,0,123264.26367648836
Bursa,71,5,16,1,1,197509.25147182637
Istanbul,287,2,49,0,0,150965.72056738974
Izmir,207,4,39,0,0,144145.17661369644
Bursa,87,2,38,1,0,65911.64761103407
Antalya,279,1,40,0,0,117638.53501796922
Izmir,158,4,9,0,1,214914.53719720186
Bursa,100,3,11,1,1,167752.1788446674
Istanbul,231,5,14,1,1,274786.08354249795
Istanbul,57,2,30,1,1,109163.16240470711
Istanbul,76,1,14,1,0,106054.40520408266
Ankara,76,3,27,0,0,95819.27486110745
Antalya,275,5,3,1,1,313547.0375708391
Istanbul,70,3,35,1,1,141926.33640477652
Ankara,79,5,0,0,1,194502.0387836862
Izmir,146,4,43,1,1,153608.6619798078
Bursa,77,3,33,1,1,90963.85907162898
Antalya,160,3,46,0,0,112782.7517824773
Ankara,241,3,16,1,1,251597.58061228623
Antalya,274,4,38,1,1,246378.8837028644
Istanbul,246,1,37,0,0,121861.15883964213
Bursa,110,5,43,1,0,159134.05812015745
Antalya,97,3,32,1,1,141548.16823861975
Bursa,196,4,20,0,1,196815.5181883935
Ankara,53,1,25,0,1,40588.191602599654
Bursa,84,5,45,1,0,120163.70910199758
Antalya,241,4,35,1,1,226476.1928033683
Antalya,98,5,4,1,1,232839.314205226
Izmir,66,3,32,0,0,77566.40806536899
Antalya,221,1,0,1,0,191295.49393036205
Antalya,269,4,5,1,0,284203.0025573948
Istanbul,207,1,36,0,0,126906.5376657657
Istanbul,270,3,1,1,1,305777.86074432323
Izmir,95,1,4,1,0,142074.63559552474
Bursa,166,1,25,1,0,148241.00083330311
Bursa,55,2,40,0,0,5281.278076000099
Izmir,148,1,46,0,1,59744.04246483161
Antalya,173,5,12,1,0,213724.23872511694
Istanbul,282,4,11,1,1,306084.53274820384
Izmir,86,2,4,0,0,137804.9373545408
Istanbul,73,4,1,1,1,209499.98279124894
Bursa,142,4,3,0,1,159811.4736350931
Bursa,290,3,26,0,1,197853.35825347586
Ankara,95,3,49,0,0,49143.0439438495
Istanbul,230,2,9,0,1,209625.26730004442
Bursa,144,3,12,0,0,135103.38162302453
Ankara,148,3,43,1,0,116519.2119231003
Bursa,237,3,1,0,1,223506.73487714317
Izmir,274,4,25,1,0,250141.6063011242
Ankara,165,2,14,1,1,184044.24367705217
Antalya,240,4,45,1,0,172338.9501906255
Bursa,262,5,9,0,1,245757.58974581957
Bursa,209,4,21,1,0,178312.58311008115
Ankara,264,5,39,1,1,238994.66870359177
Bursa,210,1,24,1,0,143602.13765772074
Ankara,116,1,14,0,0,75690.50002506257
Istanbul,177,5,12,1,1,278967.48527189315
Izmir,67,5,7,0,0,162587.1021464269
Ankara,74,4,20,0,0,104718.07117753424
Izmir,283,5,20,1,1,297904.7064598013
Bursa,272,2,21,1,1,213035.4564793454
Bursa,103,1,45,0,1,21370.515488765373
Antalya,107,1,32,0,1,54256.304102675414
Ankara,116,5,44,1,1,173370.25206626518
Ankara,153,3,26,1,0,144801.81022201595
Izmir,223,3,39,1,1,192927.48906776583
Antalya,73,5,49,1,0,114211.99636159984
Antalya,163,2,21,1,0,173805.43644291267
Bursa,81,3,29,0,0,92230.5540331651
Bursa,224,5,8,0,0,209143.5725436884
Izmir,135,2,44,0,0,67517.75759140762
Istanbul,200,2,34,0,1,149669.42140791545
Izmir,243,4,17,0,1,262172.01660364616
Ankara,176,2,41,1,1,127181.69597306848
Izmir,204,3,4,0,1,222709.0261031317
Istanbul,283,3,26,1,1,271033.7063647794
Izmir,179,5,5,0,1,237786.25182087033
Bursa,267,5,31,0,0,200056.81282466455
Antalya,66,2,7,1,1,145069.0863732758
Istanbul,153,1,38,0,1,83236.71556450763
Istanbul,210,4,20,0,1,222943.78055018908
Istanbul,186,1,17,0,1,161532.88660712403
Izmir,92,2,13,0,1,120070.66831965941
Izmir,295,2,14,1,0,218268.83717979994
Ankara,225,1,41,0,0,95379.76487401931
Bursa,88,4,25,0,0,111790.24159423196
Istanbul,270,1,43,0,1,153970.1640039734
Izmir,219,5,31,0,1,200537.58111014328
Ankara,296,3,38,0,1,186779.10857459065
Izmir,75,5,27,0,0,127971.85217547606
Ankara,148,3,38,0,0,97846.20141828516
Izmir,99,2,42,0,1,85311.47984872006
Istanbul,202,4,31,1,1,233027.99773309682
Antalya,201,1,12,1,0,165912.95866054253
Izmir,62,4,14,1,0,156014.59944796804
Antalya,109,1,17,0,0,69458.3183971996
Izmir,299,5,38,0,1,256317.88018648323
Bursa,184,5,5,1,0,227690.4863127903
Izmir,106,1,10,1,1,157297.7428424424
Antalya,85,4,31,1,1,172401.19079055986
Izmir,222,1,39,1,1,151894.73630243627
Bursa,69,2,19,0,0,79104.4528670659
Bursa,114,5,32,1,0,160395.021613267
Ankara,57,2,39,0,0,33450.26473072949
Antalya,287,5,7,1,0,295456.3476067712
Istanbul,193,5,34,0,1,196817.49320144355
Antalya,191,3,4,0,1,180453.5071356988
Izmir,253,2,34,0,1,159595.8510247258
Bursa,164,2,46,0,1,57241.41963745184
Ankara,264,3,13,1,0,241134.92774982387
Istanbul,192,4,20,0,1,234118.9793976836
Izmir,141,2,46,0,0,75976.01119815458
Ankara,147,1,23,1,1,136138.29559201913
Bursa,115,3,16,1,0,159505.00068371042
Ankara,81,2,17,1,1,131330.80081790086
Bursa,264,4,33,1,1,227624.72634703742
Izmir,240,2,11,0,0,176592.25583496745
Izmir,135,5,15,1,1,229410.35824041502
Izmir,100,1,3,0,0,118788.42658142098
Ankara,202,3,24,1,1,208984.25578095997
Istanbul,235,5,33,0,0,207565.75135682436
Bursa,112,4,27,1,0,133999.98574011214
Izmir,239,5,45,1,0,217591.20310000647
Ankara,174,5,10,1,0,250236.5072477043
Ankara,199,4,12,1,1,252648.3787262988
Ankara,107,5,30,0,0,135216.19832815658
Bursa,107,3,24,1,0,121731.2961686031
Ankara,135,2,38,0,0,86780.03088425037
Ankara,98,5,9,0,0,151286.92078821312
Antalya,229,3,23,1,1,209638.49788470403
Istanbul,219,2,0,1,0,212400.60102471558
Bursa,119,2,24,0,1,113300.40812120638
Antalya,64,5,27,0,1,146562.49752436177
Bursa,103,3,35,0,0,88833.76762536686
Izmir,284,5,17,0,0,239194.25949469724
Antalya,237,4,5,0,0,245282.0563101029
Bursa,150,2,1,1,0,161317.3282274828
Ankara,274,5,2,1,1,314817.6280676794
Bursa,57,2,45,0,1,28519.68253948634
Ankara,102,3,7,1,0,172354.48919840305
Antalya,109,1,30,0,0,60532.49070199669
Izmir,285,5,47,1,1,253780.31974049853
Izmir,157,5,18,0,1,235850.2152415405
Antalya,54,2,49,1,0,49187.20888744821
Antalya,152,3,5,1,0,184610.05317406988
Izmir,245,4,13,0,0,220192.66749776187
Antalya,55,3,2,1,0,148850.92809330035
Antalya,158,5,47,0,0,100511.81827351791
Izmir,273,4,0,0,0,258202.3449638527
Ankara,165,3,43,1,1,161165.15826618782
Izmir,143,1,29,0,1,122283.87629077844
Istanbul,96,2,45,1,1,102881.34324430632
Istanbul,148,3,18,1,1,213522.3042710899
Izmir,104,3,18,0,0,119793.24756374858
Ankara,217,1,8,1,0,169956.96766687426
Izmir,101,5,6,0,1,181772.5907135555
Izmir,193,2,45,0,0,91836.75379396434
Antalya,62,3,36,1,0,76325.14805950827
Izmir,163,4,49,0,0,115164.42342290744
Bursa,173,3,40,1,1,156653.03625111075
Bursa,155,2,6,1,1,159382.81858646302
Ankara,207,3,8,0,1,168522.32348181636
Bursa,196,1,3,1,1,176765.1203032086
Istanbul,194,3,24,0,1,212286.89493232692
Ankara,169,3,48,0,1,115633.95858498845
Izmir,112,4,11,0,1,175231.53400561842
Bursa,68,1,5,0,0,61422.65410280082
Istanbul,141,1,17,1,1,164837.09108904918
Izmir,107,3,39,0,0,85767.02337446799
Istanbul,232,4,20,0,0,223231.54023993504
Antalya,139,3,14,0,1,186290.6781903096
Bursa,278,3,2,1,0,269530.04403901054
Istanbul,267,2,1,1,0,273046.20739219163
